ParlaMint-NL_2022-03-23-tweedekamer-7.u1	I am happy to give the floor to the Minister of Finance.
ParlaMint-NL_2022-03-23-tweedekamer-7.u12	I've often made proposals in the past that I've covered with extra income, covering expenses with extra income. These proposals have all been dissuaded in the past by the cabinet, because they would be against the rules. Now, even expenditure is covered by future income. I am actually asking the Minister of Finance for two things. What does that mean for future proposals from the Chamber? I think it's a good cover. I think that is possible, but I find it remarkable that if the Chamber does it, it would not be possible, when the Cabinet itself does it. The second is: are all the expected additional natural gas benefits being used for this package? Or is the amount now being used for this additional expenditure only part of the additional revenue that the Minister of Finance expects?
ParlaMint-NL_2022-03-23-tweedekamer-7.u13	To the last question, but I would like to confirm that in the second term, the answer is that according to our estimation it was totality. But I have no predictive ability for future gas prices. I'd like to confirm that in second term. With the first point made by Mr Alkaya, he is right. That is why I would like to say that this is an exceptional situation. In fact, the budgetary rules prescribe that, as you know, there is a separation between revenue and expenditure. This time we have chosen to violate that divorce; I use the verb "violent." As far as I am concerned, this cannot be repeated.
ParlaMint-NL_2022-03-23-tweedekamer-7.u14	That makes it all the more striking that such creative coverage is being chosen at the moment, when I have indicated that you could also make real choices and actually organise solidarity, by saying: we are giving the group that is in trouble now, people who are in poverty a concession, and we are raising that money from the group that can miss it. That is not the kind of choice the cabinet makes, and I am concerned about that. Why does the Cabinet run away from that kind of real choice? Why choose such creative coverage, when in the first term we also had to find out with the Minister of Social Affairs that we are not raising enough money to really provide adequate compensation for the people who are in trouble? Is it not possible to actually organise solidarity and give the people who are in trouble a little more money?
ParlaMint-NL_2022-03-23-tweedekamer-7.u15	I know Mr Alkaya from other debates, and I have always appreciated the importance of solidarity, whether in my own country or internationally. However, my understanding of the question put by Mr Alkaya is different. In the case of a solidarity levy, I am thinking, quite frankly, of a change in, for example, the Tax Plan. I suppose that's what he means. Mr Van Rij will come back to this, but the cabinet will be working on a number of changes within the Tax Plan this year. I think Mr Alkaya means something more fundamental, which is not in the coalition agreement. And that is a fundamental revision and a redistribution in a much more radical way. That's how I understand what he's saying.
ParlaMint-NL_2022-03-23-tweedekamer-7.u16	Mr Alkaya, and then Mr Azarkan.
ParlaMint-NL_2022-03-23-tweedekamer-7.u17	Finally, Mr President. I have indeed asked to take this into account in the Tax Plan or in the Spring Note. In any case, we need to look at a more structural solidarity levy, which would also give us the opportunity to do some extra energy poverty now. That's the question I asked the cabinet. If that question cannot be answered now, I would like to hear the answer from the Spring Note or from the Tax Plan. My group would like to see a more fundamental discussion on this. Hence, for example, my question in the first term about getting a more precise picture of energy poverty.
ParlaMint-NL_2022-03-23-tweedekamer-7.u18	Yes. The Minister nods.
ParlaMint-NL_2022-03-23-tweedekamer-7.u19	Yes. Secondly, Mr Van Rij will come back to this. But together we will express this further, either in a letter or in the spring note. I do not want to suggest that it will all be positive, but I agree with Mr Alkaya that this calls for even more serious reflection.
ParlaMint-NL_2022-03-23-tweedekamer-7.u20	I would like to have a brief reflection from the Minister on the following question. Last year we had 4.8% economic growth. In doing so, we have made up for the economic setback of 2020. Lots of people work. There's more people working than ever. But now prices are rising and 750,000 to 1 million people are actually in trouble in no time. How is that even possible? These are people who work, too. They are sometimes at the social minimum, but there are also people who are above the social minimum. What does this say? How is that possible? What is the Minister's reflection on that?
ParlaMint-NL_2022-03-23-tweedekamer-7.u21	The word "reflection" always raises the question of whether I have had enough time to think about this. But I take that word as I know it from Mr Azarkan. The fact that many people are relatively quickly possible in a vulnerable position, of course, tells us all a lot. That is the first point. The second point arises from the coalition agreement. We have deliberately created the post of Minister for Poverty Policy and Participation, in order to make much more work out of it. Goals have been set. The Minister for Social Affairs has also explained this. How is it possible? Perhaps that is a rhetorical question from Mr Azarkan. It depends, of course, on how you look at it. I am not going to reply on behalf of Mr Azarkan. I think we still need to take a number of steps in the area of inequality of opportunity. That is what we do about the width of all areas. As far as I am concerned, we can take a lot of steps if we can implement the coalition agreement and speed it up, through education, through childcare, through participation and participation in employment. But I think we should all be very concerned about the consequences of this crisis and how it might put us at a disadvantage.
ParlaMint-NL_2022-03-23-tweedekamer-7.u22	Mr. Azarkan, finally.
ParlaMint-NL_2022-03-23-tweedekamer-7.u23	The crisis is a small explanation for this. Because before the crisis, 400,000 children were already living in poverty.
ParlaMint-NL_2022-03-23-tweedekamer-7.u24	Sure.
ParlaMint-NL_2022-03-23-tweedekamer-7.u25	I'm a little different from the Minister myself. In fact, I find it scandalous that we need a minister for Poverty in a prosperous country like the Netherlands. So what do I think we should do? We need to ensure that people who work and those who are at the minimum social level reach a level where they can also bear a setback of perhaps €1,000. If we live in a society in which perhaps 1 million people end up in a crisis with a fall of €1,500, there is something macroeconomically wrong. If that's the case, then we have to stick these patches every time. Because if prices are going to go through now, we might have to have another conversation with each other in six weeks, because a larger group of people will get into trouble. I am concerned about that fundamental point. From a finance minister, I expect her to think about these macroeconomic factors as well. Otherwise, it will remain a matter of redistributing poverty.
ParlaMint-NL_2022-03-23-tweedekamer-7.u26	Definitely. Of course, we do that in the breadth of the cabinet, in the quadrilateral, and we do that at all times, of course. But you are right: in a prosperous country like the Netherlands, we should not be dealing with working poor people, who sometimes have two jobs. That reminds me of the situation in many other countries. In the past, we have always said: 'Good, thank God we are not in this condition.' But it's the same with us. That is precisely why the cabinet wants to make extra work of this. That is what we want to do with targeted measures through the Minister for Poverty Policy, or through her and through her policies. And we are doing it through the Minister for Social Affairs, but also, of course, through the Minister for Economic Affairs. After all, we also need to improve the employment process. Of course, we are also looking at wages and the increase in the statutory minimum wage. Many measures are proposed by the Cabinet.
ParlaMint-NL_2022-03-23-tweedekamer-7.u27	Thank you. The Minister continues her speech.
ParlaMint-NL_2022-03-23-tweedekamer-7.u28	Under this category, Mr Nijboer and Mr Stoffer asked about the Court's budget law with regard to the measures on the energy surcharge and the reduction of excise duties. As you know, the two chambers were informed by letter of 15 March by the Minister of Poverty Policy and Participation of the proposed legislative amendment to the Single Energy Supplement Bill. I also understand very well that, in response to this, the Chamber says: nice this information, but we should normally have known that earlier. We heard right. As a result of the sharp increase in energy bills, there are low-income households in acute finance.
ParlaMint-NL_2022-03-23-tweedekamer-7.u29	Of course, this is pretty much bullshit, but that's not so bad. I mean, if the government announces in December that it will compensate €200, submit a bill in March and then implement it at that time, we can vote against as a Chamber in May, but then the money has already been spent on the municipalities. You can say that you are going to hold that in the municipalities, but again, please do me a favor, just call the President of the General Court: this is not computable and legitimate. You have a decision to make here. We also just had a discussion with the Minister of Social Affairs. There is also an implementation problem here. That's with the €800 and less in the excise duties. That's doable. But these €800 measures are really quite fundamental measures. This isn't right. If the Minister of Finance does not realize that, I really ask her to talk to Mr Visser, the President of the Court of Auditors. And two...
ParlaMint-NL_2022-03-23-tweedekamer-7.u30	Perhaps it would be useful if the Minister responded first.
ParlaMint-NL_2022-03-23-tweedekamer-7.u31	I think the word "conscious" is a big word. We have just said that we have fully realised that the Chamber is not satisfied with this and that we always want to respect the budget law of the House of Representatives and, of course, the First Chamber. We have explained the circumstances in which we thought we were doing the right thing, bearing in mind all the steps that remain to be taken. I take this criticism of Mr Omtzig to heart, of course. This applies to the whole cabinet, and we are not looking away from it either. We have tried to explain in the explanation the urgency of helping people and the fact that the policy decision has, of course, been taken exceptionally. I also hear very clearly that Mr Omtzigt says that this should not be repeated in this way, but that is also our own policy. I hope it's not necessary.
ParlaMint-NL_2022-03-23-tweedekamer-7.u32	This decision was taken as early as December. So there really was an opportunity between December and March, if the cabinet wanted to, to discuss what the measure looks like. The government could have quietly written a letter in the sense of: we intend to do so. I understand that there is still the material budget law that puts you in a bit of a position, but we now have the situation that we were allowed to pay out last week and that we are still waiting for answers over the next few days about who gets it. You can't do that. But my question in the first term was another one. If the war were to end now and energy prices would go down a bit, I think this was the last package we need this year. If the DNB prediction of 9.5% becomes true, people will get even harder during this year. People will lose real 6%, 7% or 8% purchasing power, pensions will be frozen and benefits will not rise sufficiently. It's gonna take more than that. I asked the government in the first term if any thought had been given to that plan. I don't need to see all the memos. So I do not need to know when exactly what is happening, but will the cabinet not be surprised again, which means that it will have to take a measure within a week?
ParlaMint-NL_2022-03-23-tweedekamer-7.u33	Thank you. A clear question.
ParlaMint-NL_2022-03-23-tweedekamer-7.u34	I think Mr Omtzigt is right to share the analysis, the concerns. He asked if the cabinet is already thinking about worst-case scenarios, about the worst-case scenarios. Yeah, that's what we started. But there's no memo and no plan yet. The reflection process has started in the socio-economic quadrangle and we are spreading it in other ways within the cabinet because of the urgency and the need to consider it widely.
ParlaMint-NL_2022-03-23-tweedekamer-7.u35	Finally.
ParlaMint-NL_2022-03-23-tweedekamer-7.u36	No, Mr. Chairman, I have to ask you about the energy... or else I'll be through my interruptions.
ParlaMint-NL_2022-03-23-tweedekamer-7.u37	Yeah, that's right.
ParlaMint-NL_2022-03-23-tweedekamer-7.u38	That's what I suspected. That's the downside.
ParlaMint-NL_2022-03-23-tweedekamer-7.u39	If you'll just ask a quick question...
ParlaMint-NL_2022-03-23-tweedekamer-7.u40	No, I'm good. This is gonna work.
ParlaMint-NL_2022-03-23-tweedekamer-7.u41	No? Okay. Then Mr Stoffer, SGP. Go ahead.
ParlaMint-NL_2022-03-23-tweedekamer-7.u42	The Minister replied in detail. It also indicated how the measures would be implemented in this way. I wonder if the cabinet has considered having emergency legislation passed by the Chambers before implementation.
ParlaMint-NL_2022-03-23-tweedekamer-7.u43	With regard to emergency legislation in the area of the Minister for Poverty Policy and Participation, I would like to confirm this in the second term. I don't have that information. And Mr Van Rij will explain his area of activity in this way.
ParlaMint-NL_2022-03-23-tweedekamer-7.u44	I'm asking the question... What's past is past. Whether you fully agree on the content is number two. But I think everyone, from the left to the right, is aware that we need to do something to meet the low incomes, but also the low middle incomes. It's not about the content. I really care about the procedure. I would like to see this done in the second term; perhaps it will be possible next week to answer the question of whether it has been considered and what steps have been taken. I am particularly concerned about the future. I understand it's the very last time this happens, though I wonder. I'd like to see the scenarios for when you don't do it as a cabinet and when you do. Personally, I have the impression that it could have been and that we would have been very fond of it, as Mr Nijboer pointed out from the PvdA, to do so very quickly. We can. So, especially with regard to the future, I would like to see that guarantee. In that light, I would also like the answer.
ParlaMint-NL_2022-03-23-tweedekamer-7.u45	I consider this to be a question that has been asked widely to the cabinet. It happens to be the field of action of the Minister for Poverty Policy and Participation and, of course, that of the Secretary of State. But I take the question widely. I, or the Minister of SZW, will answer the question in the second term. And of course also the appeal, and I quote Lubbers: let this be of the category "for once but never again." He was a Catholic prime minister. You will be pleased, I say to Mr Stoffer. Mr Van Rij is calling me something. Yeah, I know that. Mr Stoffer and I often have religious debates. In any case, we take this very much to heart.
ParlaMint-NL_2022-03-23-tweedekamer-7.u46	A personal fact from Mr Stoffer.
ParlaMint-NL_2022-03-23-tweedekamer-7.u47	I like reformed prime ministers, like Balkenende and all, but Lubbers is very much appreciated. Let me add that to that. He was an example of my childhood.
ParlaMint-NL_2022-03-23-tweedekamer-7.u48	There you go. Thank you, Mr Stoffer. On behalf of the CDA, I'd just like to add. Then I had a question from Mr Jansen, but there is no answer. His question was actually: is the cabinet prepared to radically reduce taxes for the benefit of the climate fund? I have just said that we are combating climate change and that we consider the investments we make, including in the coalition agreement, to be important. Moreover, we sometimes notice in the debates with both Chambers that the proposed alternative coverage cannot always count on a majority. Mr Jansen is not here, but this aside. Then I'm gonna...
ParlaMint-NL_2022-03-23-tweedekamer-7.u49	By the way, Mr Jansen has signed off on account of private circumstances.
ParlaMint-NL_2022-03-23-tweedekamer-7.u50	Oh, excuse me. No, no, no. It is also absolutely not a criticism. It's more like I wanted to answer his question. I shall now turn to the questions put by Mr Ephraim, Mr Stoffer and Mr Van Dijk. They asked about the impact of high energy prices on companies, for example in greenhouse horticulture. Is the cabinet in conversation with affected sectors? Are measures being considered? It has also been asked whether bankruptcy and economic damage can be prevented. And how do companies get extra incentives to make them more sustainable? This is, of course, particularly the area of activity of the Ministry of EZK. Minister Adriaansens and her team have regular conversations. I think she explained that again this morning. She's holding the finger on the wrist. It also takes into account, of course, the scenarios about the great uncertainty that the CPB and De Nederlandsche Bank have shared. At the moment there are two estimates, but it's really still looking coffee-diving, I'm afraid. It seems that the effects on the Dutch economy as a whole are still relatively limited. I'll look through the Economic Affairs lens. But it's always very relative when it doesn't affect you. If you happen to have a company that is badly affected by these circumstances and by the war, "relatively limited" is not an expression you would like to hear. We understand this, of course, but the Economic Affairs Committee does not consider that broad sectoral support is currently being discussed. The conversations are continuing. Furthermore, in order to focus on sustainability, the government has used the climate fund through the coalition agreement to enable a wide range of measures. This is intended to make the Dutch economy more sustainable and, of course, to reduce our gas dependence, especially from Russia, as quickly as possible. In this case, these are also geopolitical and economic reasons. We are talking about a tailor-made package. That's about the big shots. There is money for innovation in SMEs. At the moment, compensating companies for high gas prices for companies is not in line with the government. The stakes are still sustainable. Furthermore, there are many grants available through the RVO, for example in the area of guarantee and corporate financing. There's just that offer. Unfortunately, it's a repeat. Everyone, almost all sectors, is suffering from higher energy prices, but at the moment it is estimated that the rise in import prices is one of the entrepreneurial risks. In part, companies can pass this on to higher prices. Of course, we already see this in consumer prices. There are also companies that have this advantage, because they have already covered the risk. As I said, the cabinet is following the situation closely. It will be reviewed whether an appropriate response is necessary. Then there were a number of questions about the isolation of rental homes and public transport. I do not know whether the questions had been raised in part this morning. You can imagine that I do not look at this issue every day from the Treasury. We checked with the minister for VRO. The question had already been asked by Mr Klaver, Mr Nijboer, Mr Grinwis and Mr Dassen: why are the rents not reduced or frozen for households living in a draft house? What's being done for the sitting tenants? With Aedes, the housing corporations, it is agreed to take appropriate measures to compensate tenants in a corporation house with E-, F- or G-label through the rental price. The implementation of these measures will include the Minister for VRO in the performance agreements he wants to make before the summer, not now, with Aedes, the VNG, the IPO and the Housing Union. In the coalition agreement, it was agreed that landlords make rental homes with poor insulation more sustainable because of the incentive of standardisation and other positive incentives. Mr. Klaver knows that. Honestly, I don't have any details on what these positive incentives are anymore. I'll have to say that. The Minister for VRO will return to this in his programme Acceleration sustainable environment built. As of 1 April, so very soon, a subsidy scheme will be opened up for the sustainability of private housing. In addition, municipalities are already in the process of implementing the 150 million out of the first energy poverty package to target mainly tenants and vulnerable households and to support them with the deployment of energy coaches, small measures and other actions. Apparently, a rent freeze or a rent reduction would not have been technically possible in the current context. That's what we've been advised to do. That is, of course, the most important point. I think that has already been explained by the Minister for Social Affairs. The freezing of the rent of a house with a bad energy label, for example, has a limited effect in favour of the tenant. It's more beneficial to high-income tenants. If that is desirable and if that further clarifies the debate, I would like to give you a brief letter from the Minister for VRO, who can go into this further.
ParlaMint-NL_2022-03-23-tweedekamer-7.u51	You have a question about this information request, Mr. Klaver?
ParlaMint-NL_2022-03-23-tweedekamer-7.u52	Yes. Then I would like to speak on the second term of this debate. Why are we asking this question in this debate? We are all looking at the Minister of Finance, because this costs a lot of money. But this is a problem for society as a whole. The reason why for the people in rental houses prices are rising is that the landlords are either housing corporations or pawnshops... have simply not done their job and have not isolated them. This requires legislation, but legislation can also go through Parliament as a matter of urgency. You can use it to make sure the rents go down. Then it doesn't have to come from the state treasury, but then it comes from landlords who have just not done their job in recent years. That's why I'm really looking at the Minister of Finance. Not everything needs to be paid by the taxpayer. We can also place risks where they belong.
ParlaMint-NL_2022-03-23-tweedekamer-7.u53	The Minister will return to this in writing for the second term.
ParlaMint-NL_2022-03-23-tweedekamer-7.u54	Well, the cabinet. I ask the Minister for VRO to explain this. I think that's appropriate. I hear Mr Klaver very well and I agree that not everything should be borne by the taxpayer. We all did it with love, but the corona measures cost €5,000 per family in the end. That's tax money, too. That was necessary. It helped us through the previous crisis. Of course, we have fewer buffers to go through the current crisis. But I hear his remark very well. Of course, it could also be an appeal to the Minister of VRO to look again at the possibility of doing so in another way. But the letter is good for that.
ParlaMint-NL_2022-03-23-tweedekamer-7.u55	No, you're really through your interruptions, Mr. Clover. The Minister said she would pass this on to the minister responsible. The other minister will return to that for the second term.
ParlaMint-NL_2022-03-23-tweedekamer-7.u56	Mr Grinwis asked whether the Minister was open to generating additional funds for insulation and energy-saving measures for the national isolation programme, for example from the climate fund. Apparently there will be another letter from the Minister for VRO, but I will also look at this question as addressed to me. A letter from the Minister for VRO on the elaboration of the National Isolation Programme and the resources that the Cabinet has allocated to it in the coalition agreement will be submitted to the climate agreement committee debate on 6 April. As Mr Grinwis knows, the cabinet has already decided to raise funds so that municipalities can provide households with faster support. Additional resources, if that is the request, are not at issue at the moment, but I think it is important that we make haste with the use of the funds that are already there. Its implementation also raises, of course, a demand, given the lack of labour in many areas. That's important, too. Mr Van Weyenberg asked whether the threshold for obtaining ISDE subsidies by the two measures was too high. The Cabinet is currently considering options to reduce the threshold experienced by the two measures required by the ISDE scheme. In the letter on the national isolation programme to be sent shortly, the Court will be further informed. I should have done a 'Wouter Koolmees' here, Madam President, because he would say: I am reading for this; it is not a work of his own. But I hope that Mr Van Weyenberg's question has been answered with satisfaction.
ParlaMint-NL_2022-03-23-tweedekamer-7.u57	Apparently not. Finally, Mr Van Weyenberg.
ParlaMint-NL_2022-03-23-tweedekamer-7.u58	I was looking for a "Wouter Koolmees" answer, but without it. I'll wait for that letter. The essence, in my opinion, is: is a wider scheme going to help make people more sustainable now that there is also a shortage of people? I really hear stories from people who say: yes, then I won't do anything this year, because I can only do one of the two because of a shortage of people and professionals who can come and do it to me. I am therefore waiting for that letter, but I hope that the cabinet has understood my call for the rule to be extended here.
ParlaMint-NL_2022-03-23-tweedekamer-7.u59	There was another question from Mrs van der Plas on public transport. It was not the purpose of her question, but one observation is that prices have not risen. The car has indeed become more expensive. This, of course, has an impact on people who, in order to get to work, depend on the car and in areas where public transport simply cannot offer the services so regularly. You will receive a detailed reply from the Secretary of State for IenW. Making it temporarily free does not mean that it is free. That will cost many billions a year. The exact costs should still be mapped out. That's what we're happy to do. This is the beginning of an answer to Mrs van der Plas. It may know that in the public transport sector, contracts are concluded by carriers with concession providers which agree prices, which are then fixed for more years. The concession provider is usually a decentralised government or, in the case of the NS, the Government. And the conversation about the price of public transport lies primarily with the concession provider and with the carrier. The cabinet can't just intervene here, if it wants to.
ParlaMint-NL_2022-03-23-tweedekamer-7.u60	Let's just say that point of fact. I understand the cabinet says, "We're watching that." But I would like to make this point. That is very beautiful when you live in The Hague or in Utrecht and so on. But if, like me, you live in the Veluwe or somewhere else in the country, it doesn't matter. If you're not careful, you're gonna create some sort of dichotomy between town and country. So my question is whether the cabinet wants to include this in the considerations that are going on, because otherwise it will have another problem.
ParlaMint-NL_2022-03-23-tweedekamer-7.u61	I think I was just beginning to say that I know that in many places in the region public transport is not always so regular, that the service is not always like... I did not mention the Randstad, but it seemed clear to me at deduction that I was talking about other areas where you can get on a train or tram about every fifteen minutes. So that seemed obvious to me. I agree: this division, if there is one, must not be unintentionally strengthened; we must reduce it. But Mrs van der Plas' question was whether it could not be made free of charge. The cabinet will come back to that, but my answer is already... Or rather, it is very difficult to intervene; and free of charge is not free, because that is at the expense of the taxpayer.
