ParlaMint-NL_2022-06-30-tweedekamer-8.u1	I call the Secretary of State.
ParlaMint-NL_2022-06-30-tweedekamer-8.u12	While we are talking about the work agenda and what it should look like, it is fine to continue talking about value scales and so on, but not in a work agenda as far as I am concerned. What the VVD likes to see in that work agenda is not even more letter and even more text, but an agenda for what will come when, a little nicely displayed, so that we can easily find it and understand it. But we have a coalition agreement. We have also received a vision from the cabinet, which I think counts twenty pages. The VVD would therefore like to take the step towards concreteisation in the work agenda. So I'd like to give that to you.
ParlaMint-NL_2022-06-30-tweedekamer-8.u13	Thank you for that, because that is precisely what we are going to do, namely to indicate what we are going to do, based on the values we set out in the main letter. Then there were a number of questions from Mrs Leijten and Mrs Dekker-Abdulaziz on the budget. They are about how we are now making sure that there is an insight into the spending that we as a Empire are doing in the area of digitalisation. These expenditures are substantial, as some of you have indicated. This is not just about starting up new projects or making new systems, but of course also about ensuring that we can use management and maintenance properly on the systems we already have, deploy innovations and so on, and so on. We have taken a number of steps in recent times. Of course, departmental budgets fall under the ministerial responsibility of every trade minister, but I understand the desire you have to gain more insight very well. We will work on this on a number of fronts. First of all, we think it is important to include these financial guidelines in the multiannual information plans, which each ministry will make and which will be published for the first time on the second Wednesday of November. These plans contain a financial paragraph, which makes the digitisation exercise of the various policy areas understandable. Furthermore, we are going to make an overall analysis of this. That's what my ministry will do. It is also intended that the various digital elements, i.e. the components of the departmental budgets, should be further mapped out. Together with the departments, but also with my colleague in the finance department, I am investigating how these costs can gradually be made more visible in the budgets. Then there is the discussion that I will continue with my colleague from EZK, who is sitting next to me, on the Wörsdörfer motion, which was mainly about spending on the digital economy. This has already been shared with your Chamber in the context of the Dutch Digitisation Strategy. This is without prejudice to the fact that we want to take a number of further steps in the coming period. Moreover, for the big projects we already have that site, that dashboard for the large routes. I would be interested to hear more from your Chamber about what specific elements you would like to see in such a financial overview. Quite a lot of thought could be given to the fact that it is mainly about personnel costs, management and maintenance, or new projects. Of course, we can map those kinds of elements, but you might also be looking for other parts. Then I'd be interested to hear more about that from your room as well.
ParlaMint-NL_2022-06-30-tweedekamer-8.u14	The main point is that the information can be found everywhere, but it is not clear. Last year we tried to make some kind of digital ICT budget out of all those departmental budgets. It then comes to the 5.7 billion in ICT systems, but it also reveals, for example, that almost one billion is spent on external hiring. If you see that, then of course we and the government can say together: how are we going to solve this with, for example, structural own forces, so that we do not have to hire it expensively? Behind that hire can of course also be something, for example too little knowledge. But this also applies to investments in, for example, health care and innovation, which the Minister talked about. I remember when I was a care spokesperson that there were really a lot of resources going there from VWS. But there was actually not a good overview of the investments from all departments in new ICT techniques, or they were not good to add. There are now funds in the National Growth Fund that are about the digital economy. It would be nice if we could get that together in order to see if we think the priorities are right. Do ministries without knowing each other well do things twice or could you pool things together, giving you faster and perhaps better products for that new digital economy? I would certainly like to see that. I understand that there is responsibility for the budget by department, but it would really help us if we were given that overview, even under the coordination of the Secretary of State, because the government makes that coordination, that mirror, and then looks at whether we are not doing things twice, with the very best intentions, by the way. The same investments as in VWS, we might also be doing with the Defense Department. So it's like, come on, we're gonna work together for a while.
ParlaMint-NL_2022-06-30-tweedekamer-8.u15	That's a very good point. The first steps we have taken concern, for example, the major projects we bring together as a whole government. I'll have to see exactly how we're gonna do that, but I get your point very well. It is about trajectories, management and maintenance and so on. Making it clear is very important. As you rightly said, it is about a considerable amount of human resources and commitment. So providing more insight into that is also what we would like to do in the future.
ParlaMint-NL_2022-06-30-tweedekamer-8.u16	Very briefly, Mrs Leijten.
ParlaMint-NL_2022-06-30-tweedekamer-8.u17	You know, Mr. President, it would be a great pleasure if we could avoid motions. But what exactly do we agree on? The secretary of state is talking about: you will get something on the second Wednesday of November. Then we are already in the budgetary cycle. So how does that relate to discussing budgets? But when would you then have such an overview...
ParlaMint-NL_2022-06-30-tweedekamer-8.u18	When could the Secretary of State send such an overview to us? Could that be something at Prince's Day so we can see how things can be better on the next Prince's Day? Well, I'd appreciate it if we could get a fix on how we're gonna do that.
ParlaMint-NL_2022-06-30-tweedekamer-8.u19	The realism of an ongoing budget means that the plans in November will be the first set-up that we can work on this year. As far as I am concerned, working towards the next budget, we can take a more detailed look at supplementing it, because I think that could be very helpful.
ParlaMint-NL_2022-06-30-tweedekamer-8.u20	It is very nice that the Secretary of State wants to send those plans to the Chamber, including financial information, along with an overall analysis that we, as the Committee on Digital Affairs, are also very interested in. Then there's the question of what else we want. In our discussion with the General Court of Auditors on the annual reports, we made a number of recommendations on what should be included in order to clarify the priorities, including the amount of money spent on algorithms. I'd like to suggest to the Secretary of State to take that power point.
ParlaMint-NL_2022-06-30-tweedekamer-8.u21	I'd love to take a look at that. I can't exactly report it, because I think that's kind of tricky. But at least we can try to find out. Then I'm ready for the AI and data block.
ParlaMint-NL_2022-06-30-tweedekamer-8.u22	First, Mr Bontenball.
ParlaMint-NL_2022-06-30-tweedekamer-8.u23	I am still puzzled by the answer given by the Secretary of State to Mrs Leijten's question. I didn't think that was a very clear answer. Is there going to be a general overview or some kind of overview? That doesn't have to be perfect right away, but it does have to be something of an overview on the main lines. I understand you're getting that from other budgets, but what can we expect from product?
ParlaMint-NL_2022-06-30-tweedekamer-8.u24	The product you can expect is that an information plan will be drawn up per department, so what our plans are and therefore the corresponding expenditure that we want to do in the future in our policy area. We make an overview and an addition. That is what I would like to do. We already have a number of things, big projects, for example. I am going to try to pool as much information as possible on this, so that you also have the best possible overview. I am not trying to do more difficult than I want to do here, but I do not want to promise something I cannot do, because I understand very well the need that Mrs Leijten has and that you have: can we get a little more insight into what the government is spending in this area, whether it is about staff, projects, management and maintenance of systems, etc. etc.? But that will also have to be a bit of a growth path.
ParlaMint-NL_2022-06-30-tweedekamer-8.u25	It is perfectly understandable that it should become a growth path. One more check question, though. So will we be able to get that information in time so that we can use it in the budget treatment that we have been using as Digital Affairs? That would be my preference. We've been on the road for over a year now. If we're gonna lose this fall, it's gonna add up a little bit. That would complete the promise for me.
ParlaMint-NL_2022-06-30-tweedekamer-8.u26	I am going to ask my collaborators to see if that is exactly how it fits in with the budgetary procedure, so I am happy to return to that in the second term. Then to artificial intelligence and data. There was a question from Mrs Bouchallichh and Mr Van Baarle about the algorithm monitor that is to come. We also announced this in the coalition agreement. It has also been arranged that there is a budget for the Personal Data Authority to carry out these tasks. The intention is to have this design around by the end of this year, so that in 2023 this supervisor can also be set up. The aim is therefore to link this role, on algorithms, not only of the government but also of the private sector, with the other regulators, the Authority Consumer and Market and the Telecom Agency, to make sure that it is clear who is doing which parts in the area of algorithm monitoring, which type of algorithms it is necessary to do, in order to properly organise that supervision and that it is knowledge and skills for the AP and possibly others. So that's what we're doing. At the end of this year there will be more information about what our ideas are about the establishment. Of course, we are also looking very closely at our international framework, because this AI-EU regulation, the EU's artificial intelligence regulation, contains, of course, elements about the monitoring of algorithms and not just what requirements they should meet.
ParlaMint-NL_2022-06-30-tweedekamer-8.u27	Excuse me, Mr. Chairman. The Secretary of State moved on so quickly to the next block that I got up just too late. Just a few more moments on the work agenda. I'm sitting there thinking if I'm crazy and completely misunderstood. I've been looking at the government website. It was published on 8 March last year. It said: In the coming months, the main lines of the letter will be further developed in a cabinet-wide work agenda digitisation. Today is not the first time we've faced each other. We've discussed this before. I didn't know better than the Secretary of State and her officials were working on it.
ParlaMint-NL_2022-06-30-tweedekamer-8.u28	Sure.
ParlaMint-NL_2022-06-30-tweedekamer-8.u29	I thought it would be nice if that were to go to our future for this debate, then we could discuss it. I now hear that it is actually still, waiting for this debate to take place. I would have preferred to know that sooner, because then we might have been able to table a committee debate so that we could give our input earlier. Now we're losing months again. And we've been waiting so long. I'm very sorry to hear that. At what point have we not understood each other correctly?
ParlaMint-NL_2022-06-30-tweedekamer-8.u30	One thing that's clear is that it's definitely not still. But on such an agenda it is important to hold the main debate and to hear your Chamber's opinion on the elements of it. In an interdepartmental context, not only from the Interior, but also from other departments, we are working hard on making this agenda. It will contain a very concrete picture of what we are all going to do in the coming period, what planning is included and so on and so forth. There are several elements in it and we're going to have them come to you after the summer. Of course it would have been very nice if we had finished it all, but unfortunately that is not the case. But it's not like we didn't do anything: we've been working hard to work out those themes that I was talking about, so for example, how these algorithms are going to work, what we're going to do with identity and so on.
ParlaMint-NL_2022-06-30-tweedekamer-8.u31	It's very nice that the Secretary of State wants to take our input into this. I would also very much like to provide good input. But it would have been helpful if we had already received some sort of draft work agenda. Of course, we won't hold the Secretary of State to that, but how are we supposed to help and provide input if we don't see anything? Because the main lines are really super-vague.
ParlaMint-NL_2022-06-30-tweedekamer-8.u32	In any case, you have already helped with your contribution, namely by identifying the elements that you consider important in the coming period. We'd love to get to work on that. Many of you have done so in terms of identity, accessibility, values and so on. We are happy to include these elements in the work programme.
ParlaMint-NL_2022-06-30-tweedekamer-8.u33	I would also like to come back to that implementation agenda. Thank you for that. We have asked about the sustainability aspects and their emission aspects. That fits in perfectly with all the other government plans. In the Compatibility Act 3.1, too, it goes in the direction of what is the impact on the climate. I would therefore like to have that commitment. I have one more question, but I'll save it for a while. First, the Secretary of State's answer.
ParlaMint-NL_2022-06-30-tweedekamer-8.u34	Very good. My colleague from Economic Affairs and Climate Affairs is certainly going to say something about that. The point you made was clear, as far as we're concerned.
ParlaMint-NL_2022-06-30-tweedekamer-8.u35	Thank you. It's nice to have that back. The other question is about the algorithms and AI. Municipalities and libraries, for example, are working on algorithms. Fortunately, the VNG is very active on this. I can imagine that that should actually apply to every level of government. Is this also addressed in the agenda that is being drawn up? If not, it's a tip.
ParlaMint-NL_2022-06-30-tweedekamer-8.u36	Sure. We've made a few promises. Questions have also been asked about when there are. We said a few things. Number one is that it is important that we set frameworks for algorithms: what can you use them for, what data may be in it and so on and so forth. That's what we do in the Netherlands. We do that in a European context. We are also working on this with the municipalities very much. Municipalities themselves have very good ideas about this, as you say. Next, it is about ensuring that monitoring is organised and that there is a register of the algorithms that are in use. For everyone, it has to be clear how that works. I shall come back to this in a moment to the questions that have been asked. I've been talking about the supervisor. Then I'm going to the next topic. This concerns the obligation of the human rights test within the framework of artificial intelligence and the EU's plea to combat discrimination. That point was made by Mrs Bouchallichh. He wants to ask you something first.
ParlaMint-NL_2022-06-30-tweedekamer-8.u37	Yes, he has another question about the previous point. The floor is up to her.
ParlaMint-NL_2022-06-30-tweedekamer-8.u38	Yes, I was just waiting. So we're not going to talk about the Dutch Data Protection Authority anymore. Is that right?
ParlaMint-NL_2022-06-30-tweedekamer-8.u39	Not in principle, except for the question about the funding you have asked. I believe he's coming. Shall I do it right away? Shall we? Well, I guess that's it. At the heart of the matter is that this cabinet in the coalition agreement has not only indicated the importance of monitoring algorithms. The so-called 'Algorithm Watchdog' is being set up, which will, by the way, be equipped not only on the basis of what we consider important, but also on the basis of European policy in this area. It is also important to see how the other supervisors play a role in this. Of course, resources have also been made available for this. In addition, the Personal Data Authority has also been given additional resources to ensure that they can better carry out their other tasks, the tasks they already have. That is what I would like to say.
ParlaMint-NL_2022-06-30-tweedekamer-8.u40	I just wanted to make sure the block was finished. I missed the answer to a question that I believe has also been asked by Mr Van Ginneken. The question was whether the additional tasks assigned to the AP are fairly regular. The statement of the AP itself states that growth of the AP is necessary for the protection of citizens in the digitalising Netherlands. There's only gonna be jobs. I have experienced this in the debate with this Secretary of State, but also with others. I am concerned that the funds allocated do not appear to be sufficient, but that we do not have the frameworks to test them. Can the Secretary of State or another govern ment explain how they measure to what extent the task package still fits the allocated resources and how the Chamber can check whether that works?
ParlaMint-NL_2022-06-30-tweedekamer-8.u41	That question is very clear and answered by the Minister of Justice and Security. Mr. Chairman. I shall return to another question. It was about the mandatory human rights test. We discussed this with each other in an earlier debate. The aim is to include EU legislation on artificial intelligence, human rights and discrimination as an element in the EU framework, for example in the AI Act. If this can play a role, it will also be tested in those high-risk systems. We'll make sure that happens. If that is not the case, we will look further at it in a national context. Our directive on algorithms, which has been announced in our I strategy, will be important for the tests we are going to do ourselves. That is where the so-called 'human rights test' called 'IAMA', which is also known as 'the 'non-discrimination clause', plays an important role. So the essence is that we want to record this. You have also pointed out in previous debates that you consider this to be incredibly important. That's what we think. That is what we are going to take into account in this regulation.
ParlaMint-NL_2022-06-30-tweedekamer-8.u42	Since it is about European regulation, I have the following question. I can also imagine that another ruler will answer this question. It is about Commissioner Johansson's proposal to remove the end-to-end encryption of certain applications, so that investigative services can use it, while, of course, that is a basic right of the user. I wonder what the position of the Dutch Government is in this regard. Is she working on that or not?
ParlaMint-NL_2022-06-30-tweedekamer-8.u43	That's very good. That is indeed a subject for Minister Adriaansens. He'll go into that further. I will go to the point about municipalities, discrimination and what we can do to stop it. That was a question from GroenLinks and DENK. It is clear, of course, that discrimination is prohibited, that it should not be and that discrimination should not therefore be used in algorithms. At present, municipalities are, of course, responsible for complying with the law themselves, and the city council must supervise this. What we consider important and where European regulation is not only important is that municipalities also comply with the law and that it is clear what should and should not be done. The aim is, of course, to carry out these human rights tests on algorithms, both in terms of discrimination and other subjects. I am very active, along with the municipalities, in doing so. In fact, municipalities are also very active in ensuring that algorithms or risk models, if they use them, meet all the requirements already in force in Dutch law. At European level, we are very committed to this. That was also one of the questions asked. That is what we are doing, for example, with those regulations on artificial intelligence and, not least, with the work done by the Council of Europe to also make a treaty in the field of artificial intelligence. The intention is, of course, that the regulator, the AP, when this legislation comes soon, will also play a role, namely as the authority that is not only there for the Government, but also for local authorities and the private sector to test for algorithms.
ParlaMint-NL_2022-06-30-tweedekamer-8.u44	Thanks to the Secretary of State. I have often asked how she can do more with the municipalities. Unfortunately, I saw again in the newspaper that municipalities are not working on this optimally. I understand that, in a way, there is a limit to the power and responsibility of the Secretary of State. However, I am very concerned, especially if one such newspaper report shows that a municipality says "we are not going to stop doing this," and even if research by Rathenau shows that there is not enough knowledge and responsibility is felt. Perhaps it is difficult to influence that responsibility from here, but can the Secretary of State do something about the knowledge that apparently is not sufficiently present at municipal level? How can it contribute to this?
ParlaMint-NL_2022-06-30-tweedekamer-8.u45	We already do. Let me be clear: the newspaper report to which you refer is, of course, totally out of order. If algorithms and risk models have been detected for some time, they should not be applied. That's something I want to be very active with. We are actively engaged in discussions with the municipalities on this subject. The municipalities themselves have also developed ethical codes and things like that, to ensure that they move forward. At the moment there is no handle to do more with it, other than that we now want to set it up with, for example, the regulator of algorithms. He's gonna see if they're gonna obey the law, even in congregations. Of course, the local council also plays an important role in this. Our Personal Data Authority will also represent a strong function in the coming period.
ParlaMint-NL_2022-06-30-tweedekamer-8.u46	The score cards are based on that SyRI system. That was rejected by the judge when it was deployed in Rotterdam. It is still being deployed, while the government has said: do not use it anymore. How is that possible?
ParlaMint-NL_2022-06-30-tweedekamer-8.u47	That is a good question to ask the relevant municipalities. It's very clear that it's not allowed. My understanding, by the way, is that it is no longer being used at the moment. We are trying to set up supervision to ensure that it does not happen again. In the end, it is also up to the local council and the municipality to remain vigilant. I agree with you that, of course, this should not be possible. It's against the law, and you shouldn't want it.
ParlaMint-NL_2022-06-30-tweedekamer-8.u48	I think that referring a people's representative in this Parliament to municipal councils is a real weakness. The SyRI system affects fundamental rights. It was adopted here in the House of Representatives, but we have not seen any of that. The SP didn't see it either. Data sharing and profiling affect fundamental rights. It has been declared unlawful and unlawful by the court. I would then think that the government, which has made this possible by means of a law, when the weed is going to track down the municipalities, is going to encourage them and impose them not to use it anymore, because we are breaking the law. Then you can't say "go to the city councils in the province of Utrecht"?
ParlaMint-NL_2022-06-30-tweedekamer-8.u49	Everything you say has happened. Let us be clear about it: it has been stated that this is no longer possible. It is clear that this was also stated by the judge. The incentive is also done. We are now going to make national legislation with each other, based on international legislation, namely that of the EU, to make sure that what is and is not allowed in the area of algorithms is clear. We also set up a supervisor. That is incredibly important to me to ensure that algorithms that do not meet the requirements we impose on each other can no longer be used. This applies not only to the public sector, but also to the private sector.
ParlaMint-NL_2022-06-30-tweedekamer-8.u50	I'm starting to worry more and more about the quality of the government's screening. It was in a debate with this Secretary of State that we had to find out on-going that the BRP was discriminated against. That didn't even come out of the State Department's screening at the time. Part of that review was the setting up of a list of municipalities to ask them if they used discriminatory, controversial fraud lists. Now journalists have to find out that this was still being applied. What does that say about the quality of that screening? As far as the DENK Group is concerned, we have come to the point that everything is wrong with that screening. I'd almost call this secretary of state: we need to re-evaluate it. If journalists need to find out that this is happening, what's the point of this screening?
ParlaMint-NL_2022-06-30-tweedekamer-8.u51	Perhaps it would be a good idea to separate the responsibilities that we have in the Netherlands in our democracy. The screening that we are doing, which, by the way, emerged in the debate on the National Approach Address Quality, is about an algorithm that we used that did not meet the requirements. That is what we exchanged in the debate. Luckily, that hasn't been used in a long time. The other point is that we want algorithms that are used in the Netherlands by the government to be central government and local authorities to meet requirements that we believe should be met by private institutions. That is why we need to legislate. We need to ensure that real thought is given to how we are going to do this at European level. Some algorithms are not made in the Netherlands, but are used here. Then we are talking about the question of how to monitor it. Of course, it's incredibly important that we set that up properly. We want that to become the role of the AP. The mapping of what we do at the state government is an ongoing process. You know that. We're working hard on that. Your Chamber has also received a technical briefing on this matter. All departments have been asked to analyse which algorithms they use, on what basis that is and, of course, whether there are potential problems in terms of human rights or discrimination, for example. We're doing the inventory now. Some of it is already being completed. Some of it will come to you before the summer. That is to make sure that what is going on is mapped out, on the basis of a motion from you and from Mrs Marijnissen, and that it is clearly mapped out how that works. Before you ask this question, I would like to say the following. Your motion on whether that can still be tested externally has not been passed in this Chamber. Nevertheless, I have indicated that I would very much like another test to be taken. I asked the ADR to prepare the work for this.
ParlaMint-NL_2022-06-30-tweedekamer-8.u52	Part of this review was: we ask municipalities whether they use fraud lists or risk models which may lead to discrimination. That's what the VNG did. We have received a report on this. If it turns out that a whole bunch of municipalities still use lists of this kind, they have to find out about it, and if we as a Chamber have not been able to get that from the VNG's questionnaire, then something went wrong with that screening. My compelling appeal in the direction of this Secretary of State would be: do that again, ask again for all the municipalities and ask more precisely what they use or do not use, in order to get that over the table. A reference to municipal councils, a reference to local authorities, I find too easy when it comes to discrimination. Discrimination is against the law. Is the Secretary of State prepared to agree to do that again?
ParlaMint-NL_2022-06-30-tweedekamer-8.u53	I'd like to dive into that. This is, by the way, a different matter from the inventory from the motion we were talking about. It was definitely about the government. I'd be happy to return to that in second term. By the way, I think it is good to talk about the fact that I am not just referring to the local council. Of course they play an important role. We are in the process of making national and international regulations which also regulate this at national level.
ParlaMint-NL_2022-06-30-tweedekamer-8.u54	That was a comprehensive answer. I understand there's always nuances and so on. But if an investigation reveals that such a system is being used, that a number of municipalities still use such a system that is discriminatory. But I can imagine that you, as Secretary of State, will make a phone call to that municipality and say that it may be the responsibility of the municipality, but this is not allowed. Either you give a warning or you talk about this. Surely it cannot be that we live in the Netherlands in a country where we say together "I am not responsible for this" if we know that discriminatory systems are being used? That's not supposed to happen, is it?
ParlaMint-NL_2022-06-30-tweedekamer-8.u55	No, I agree. Fortunately, these municipalities no longer use these systems. That's a partnership of a number of municipalities, I believe three. So that's good news. If I'd known they were still using it, I would have. Of course, I feel responsible for this; not least that is why we want to regulate it at national level. That is why I added that to the answer to Mr Van Baarle's question. I would like to continue answering the other questions. Mr Van Baarle asked about the implementation of the Marijnissen motion. I just said something about that. Those analyses and inventories are currently under way. An external test has been carried out by the Audit Service Rijk at one Ministry, namely Social Affairs. My request is to see if we can apply it more broadly. I hope to be able to discuss this with you in the early autumn. Mr Van Haga asked to what extent far-reaching powers under international law increase the likelihood of data being misused and what controls there are. These international regulations and legislation, such as the Digital Markets Act and the Digital Services Act, as well as future directives on artificial intelligence and algorithms, are, of course, there to strengthen the position of citizens and end-users vis-à-vis online platforms, in order to ensure that civil rights are used and enforced. It is very important for us that this happens and that values such as privacy and autonomy, the right to be forgotten, for example, are used. That is why we attach so much importance to these agreements at European level, not least because the platforms we are talking about work much wider than in the Netherlands alone. I am therefore not so afraid of what Mr Van Haga says, namely: will we not have a control state? We're aiming at the opposite. We want citizens to be able to use these platforms in a safe manner, where their data are not simply sold out, they do not get information they are not waiting for, or their human rights are otherwise harmed. Mrs Dekker asked about the mandatory disclosure of algorithms, that algorithm registry with which we are working. We have made a first start, but before the end of the year we really want that set up, so that what is in it is clear. Of course, it is important that we take the different elements of these algorithms with us. So we not only describe that there is something like an algorithm, but also how it works, what data is used in it, on what basis those data are used and so on and so forth. Mr. Chairman. Then I'd like to move on to the block of disinformation.
ParlaMint-NL_2022-06-30-tweedekamer-8.u56	Yes. First Mrs. Dekker.
ParlaMint-NL_2022-06-30-tweedekamer-8.u57	I just have two more questions about the algorithm registry. When does the Secretary of State expect to be about done with this or at least have a version that can be consulted publicly? My second question is this. I had asked in my contribution whether there should simply be a legal framework of policies based on algorithms. Shouldn't that be in laws or publicly traceable?
