Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u1	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u12	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IngridMichonDerkzen	Michon-Derkzen, Ingrid	F	1976	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u13	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u14	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IngridMichonDerkzen	Michon-Derkzen, Ingrid	F	1976	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u15	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JoostSneller	Sneller, Joost	M	1982	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u16	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u17	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DilanYeşilgöz-Zegerius	Yeşilgöz-Zegerius, Dilan	F	1977	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u18	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u19	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u20	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DilanYeşilgöz-Zegerius	Yeşilgöz-Zegerius, Dilan	F	1977	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u21	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u22	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
