ParlaMint-NL_2022-06-16-tweedekamer-10.u1	We're gonna listen to the Secretary of State.
ParlaMint-NL_2022-06-16-tweedekamer-10.u12	Mr Grinwis is always very sharp. I asked this question to the officials the day before yesterday, because it is, of course, entirely justified. It's not a static whole. So we are also taking into account in the letter what the budgetary windfalls are up to now. If we are talking about gas benefits, we are on the expenditure side, but you know that.
ParlaMint-NL_2022-06-16-tweedekamer-10.u13	In other words, the Secretary of State more or less confirmed that it is not intended to increase the burden on labour or consumption. But I added something to that, namely cuts, precisely because the Minister of Finance did not want to exclude them. Does the Secretary of State say that if there is more expenditure, for example because there is a one-off supplement, the expenditure will be cut on the other side? That's just how I understood him, but I hope I misunderstood him.
ParlaMint-NL_2022-06-16-tweedekamer-10.u14	No, it is not the intention that, if we do something in the sense of the €500, in other words, that is to say, that we are going to come to the expenditure side with a cut-off proposal about 2.35 billion; not that. Yesterday, the Minister did say, referring to the scenarios of De Nederlandsche Bank, that the economy is coming to a standstill. This was also above the press release of De Nederlandsche Bank. The Dutch economy could end up in recession. Then public finances, applying budgetary rules, can come into a situation where there is a need to talk, especially with the increase in interest rates, about cuts in expenditure. That's what the Minister meant yesterday.
ParlaMint-NL_2022-06-16-tweedekamer-10.u15	My only point was actually that I want to avoid it at all costs. If these setbacks go on for years, I understand you have to look at the expenses at some point. But we have seen in the past that these cuts can cause irreparable damage to the public sector, and I want to avoid that at all costs. I will therefore come up with a motion to the effect that we will not be rushing to think about austerity now, even if we are in recession this year, because next year it may look different again. The damage you do to the public sector if you are going to make rigorous cuts is often irreparable, so we should not do that.
ParlaMint-NL_2022-06-16-tweedekamer-10.u16	I think we are also following the normal course of events here, despite the exceptional circumstances. We're getting the Macro Economic Reconnaissance in August. Then we get the final decision in the cabinet on the burden. And then, of course, we come up with the Millions Note and the Tax Plan. I would not like to take an advance on cuts now, but the Minister has made a very realistic observation on the reports of De Nederlandsche Bank. If the Dutch economy is in a recession, it has not said "that" but "if" then of course it also has implications for the budget deficit and public debt. In such a situation, of course, you will face that question.
ParlaMint-NL_2022-06-16-tweedekamer-10.u17	The Secretary of State just mentioned the taxation of assets. Something too rigorous is sometimes thought about what kind of ability we are talking about. I tabled a motion along with Mrs Van Dijk some time ago, which was also adopted by this Chamber to really see what kind of capital categories you actually have. You have a big category of pension assets on the one hand. On the other hand, you have business assets, which really need to be re-invested in a company. And besides, you might have some kind of residual category of investment assets, to put it that way. I think this distinction is going to be very relevant to the debates that we are going to have later this year on the possible further lifting of capital. Can I get a bit of a direction from the Secretary of State or, at least, do we have an answer to this question that was raised in that motion before that discussion on property inequality?
ParlaMint-NL_2022-06-16-tweedekamer-10.u18	As a cabinet, we've been very clear. We have said that we wait first for the ibo report of Laura of Spirit. We are not expected to be responsible for this at the beginning of July. Then the cabinet will have to talk about it first and give an appreciation and then we'll come back to the Chamber. Some data are already known; look at the CBS. There's 1,500 billion in the pension funds. If all these pensions are paid in due course, income tax will be paid. Net is around 800 billion in the home; own house forfait minus the debt. There's 400 billion in box 2 and around 450 billion in box 3. That's the last of the records. Your motion was specifically about box 2 and that there is not only investment capital in it. That's right. There is primarily entrepreneurial power, but there is also investment power in it. You asked me to split that up. In the appreciation of that motion, I have already said that this is a very complicated question. We know that at the time that shares are donated or inherited, because then the company succession facility applies. Then it is important that you show what business power is and what investment capital is. For business capital, you are entitled to that business succession facility and not to the investment capital. We do not have that insight in the corporate tax return every year. I also really want to do management of expectations. We'll get back to that, but there's about 400 billion in box 2.
ParlaMint-NL_2022-06-16-tweedekamer-10.u19	I thank the Secretary of State for this answer. He says it's a fucking complicated question, and I respect that. But it's also a damn relevant question. If we want to have a good debate on the taxation of capital, we also need to know exactly what is in box 2. To throw all that great power in box 2, that is not the intention; the Secretary of State will agree with me. Then we do not do justice to the discussion either.
ParlaMint-NL_2022-06-16-tweedekamer-10.u20	Yeah, but I've said before that I agree. Entrepreneurship is enterprise power. Entrepreneurship must be used for the enterprise. This is also reinvested in the company. It creates a lot of jobs. Also in the report of the Central Planning Bureau on the uneven distribution of assets published in March, you see that this definition includes retained profits as income. Well, let's just continue that debate the moment the ibo report arrives. We will respond to that motion as best we can. But in itself it has been said by the cabinet that it is going to look at the taxation of assets. I want to be very clear about that, too. That was said by the Prime Minister and the Minister of Finance. Because no matter how you turn it, we are left behind in that area, even in the international states. You can also see in the Spring note a first step towards more balance between the boxes. Mr. Chairman. I have another question from Mrs Van Dijk. She's not here right now, but I'll answer it anyway. She asked her question in response to a message from Nieuwsuur. With all due respect, that has not been discussed in the Cabinet. We're not going to discuss things there either... so be it. The only thing I can say about it is that there was not so much news under the sun, because the coalition agreement says that 2.4 billion will be deployed. Sorry, it was 3 billion. We have now used 600 million of this for the additional elderly discount in the spring package. There is then 2.4 billion left for a reduction in labour income for middle income, i.e. a reduction in labour costs and a reduction in rates. Well, that is what we are going to discuss in the August decision-making process and in the Tax Plan we will come back to that. But that has not been discussed recently in the cabinet. I'd like to have said that here. Mr. Chairman. Then I want to go to the questions about VAT. As I said yesterday, we know 0%, 9% and 21% VAT in the Netherlands. If we call for a reduction in VAT rates on energy from 9% to 0%, I understand that in itself. However, this reduction is contrary to the EU directive. I told you yesterday. Poland has, well, drawn a long nose to Brussels and said: we are doing it anyway, 0%. As a result of the questions that have been asked, can it not be 5%? As President-in-Office of the Council, I would really like to take the initiative of raising this issue at the next Ecofin Council. I think that's important. I will also discuss this with the Secretary of State and the Minister. For there are countries, such as Sweden and Portugal, which are now also submitting requests to the Commission. In the EU, we just have a reversal in corporate taxation: the race to the bottom is over and we are going to a minimum. It cannot then be that we get a race to the bottom with VAT on energy and on food and on excise duties. I certainly want to sit down with the Belgian and German colleagues on excise duties, because I sympathise with everyone who tells us what the consequences are now in the border region with Germany. On the other hand, the German measure expires on 1 September and Belgium has a measure which expires on 1 October. Yes, more harmonisation would be appropriate. Whether it works is a second.
ParlaMint-NL_2022-06-16-tweedekamer-10.u21	Thank you for this first handout. That's nice, too. We're also trying to help you. On the contrary, we have not chosen the 5% because only 0%, 9% and 21% were possible; we have heard that from you. So with 0%, I think we'll help you.
ParlaMint-NL_2022-06-16-tweedekamer-10.u22	Thank you for this kind of help, Mr. Mulder, because you'll help me go counter empty. I'm gonna say I'm not gonna do that, and not because I want to be the good boy in class in Brussels. But I take it seriously. I take it seriously in the sense that the need is high, not only in the Netherlands but also in the other EU countries. We should not go to a situation in which each country does its own, and sometimes in conflict with it. We should simply discuss this in Ecofin. That means that at the moment I cannot honour your wish and I must also discourage your amendment on this point, because we are simply not going to do it from 9% to 0% now.
ParlaMint-NL_2022-06-16-tweedekamer-10.u23	Yesterday I heard the Secretary of State and I also heard promises from other ministers, namely that there will be a response and a letter first. So as far as that is concerned, you cannot change your mind within 12 hours. Yesterday, you promised to take a good look at it and come forward with a letter, with all kinds of arguments. So I do not think it would be appropriate to dissuade it today. Let me say it very carefully.
ParlaMint-NL_2022-06-16-tweedekamer-10.u24	I understand this question. But we do have this urgent legislative proposal here. This urgent legislative proposal should be strictly in the Official Journal before 1 July. Otherwise we are going to postpone the examination of this urgent legislative proposal on this point. Of course, we can also agree to keep the amendment, but I would also like to do expectations management here. Don't expect too much right now. You are going to get the answer I just gave you in writing. I think that is just fair to say in this debate now, but I do not want to anticipate it. It is not that I am selectively shopping in the questions that were asked yesterday, but we are now dealing with this urgent legislative proposal, which is going to be voted on soon if it is right.
ParlaMint-NL_2022-06-16-tweedekamer-10.u25	It would be fair if you kept to the agreements you made yesterday, not 12 hours ago, and did not judge until you sent that letter with all the pros and cons.
ParlaMint-NL_2022-06-16-tweedekamer-10.u26	What I would suggest, then, is that, in anticipation of the overall letter, we should already respond to this very specific point, otherwise we will have to continue to deal with this bill. So you will be given the answer to the proposal in writing from 9% to 0%. The same applies to those who have proposed going from 9% to 5%.
ParlaMint-NL_2022-06-16-tweedekamer-10.u27	Then I don't get it. The Secretary of State starts with a whole story that he goes to Ecofin to talk about it. Before he goes, apparently he's gonna say whether or not he can. If you say in advance that it is not going to happen, it is not so tough what you just said, namely that you are taking our suggestion seriously and going to the Ecofin to discuss it. It's one or the other, I guess.
ParlaMint-NL_2022-06-16-tweedekamer-10.u28	No, it's not one thing or the other. This proposal is due to enter into force on 1 July. You don't want to go from 21% to 9%, you want to go from 21% to 0%. That's not gonna work on July 1st. That Ecofin is on 12 July. I would like to raise the question at Ecofin, listening to this Chamber and also to your plea, which is possible. Because the EU directive forbids going to 0%. I've said that a few times.
ParlaMint-NL_2022-06-16-tweedekamer-10.u29	If the Secretary of State considers an EU directive more important than killing people in the Netherlands, then the EU, Brussels, is an even scarier club than I ever thought.
ParlaMint-NL_2022-06-16-tweedekamer-10.u30	Mr Mulder knows as well as I do that an EU directive... You cannot agree with it. You may want to leave the EU, but as long as we are not, we are dealing with the EU. The EU Directive is of a higher legal order. We have a decent country to live up to. You can't just deviate from that one-sidedly, which Poland does. But that's Poland. It does so often, also in other areas, but we in the Netherlands do not.
ParlaMint-NL_2022-06-16-tweedekamer-10.u31	I think that's a big deal. I'm sorry to go through with this, but it's kind of a follow-up to what was promised to everyone last night. At that time, my group chairman specifically asked for this up to two or three times, and this was promised; that is why I will continue. But first of all, I think it is a great deal that you are implying here that Poland is not a decent country. I think it's very daring that you do. Secondly, not only does Poland, but you also want to reach 0% for certain groups, for fruit and vegetables.
ParlaMint-NL_2022-06-16-tweedekamer-10.u32	That is allowed on the basis of the directive.
ParlaMint-NL_2022-06-16-tweedekamer-10.u33	But if that's all right and it's all right for solar panels, then we can do this, right? This is not something for the next 20 years; this is temporary for six months because there is need. That's why other people do it. Everyone here in this room is shouting that there is a problem in the Netherlands. That is not a problem of a few promille, but really a problem with large groups of Dutch people who get into serious trouble. The Nibud just announced, an hour ago, that not 1.2 million households but 2.5 million households are in serious trouble. If all this is the case, then surely it is not such a story, it is for six months because it was once put on paper by Brussels? Then you must stand up for the Netherlands and the Dutch.
ParlaMint-NL_2022-06-16-tweedekamer-10.u34	I understand your plea, but I want to be clear on this point, in the sense that we are dealing with the existing EU directive. We deal with all options, but we do have the reality of this bill. Of course, it would not be good if I were to speak to you with a mouthful of flour and suggest that instead of going from 21% to 0%, we should move away from the fact that this means budgeting and the balancing or such a measure will then end up with those groups that a large part of the Chamber says we should do something about it. So, taking into account existing EU legislation, I would like to point out to you that we cannot do that at the moment. We are also going to confirm this to you in writing. In this case, I would like to confirm this in writing as soon as possible.
ParlaMint-NL_2022-06-16-tweedekamer-10.u35	I think I've heard you five times now, Mr. Mulder. It's been really nice.
ParlaMint-NL_2022-06-16-tweedekamer-10.u36	But only now...
ParlaMint-NL_2022-06-16-tweedekamer-10.u37	No, no, I'm adamant. I call the Secretary of State.
ParlaMint-NL_2022-06-16-tweedekamer-10.u38	Then several speakers, namely Mr Van Baarle, Mr Stoffer, Mr De Jong, Mrs Van Dijk, Mr Idsinga and Mr Grinwis, also asked: is the reduction of the VAT rate really going to the consumer? I said yesterday in the debate that I will also contact Energy-Netherlands and the energy companies myself. By the way, I talked about 175 energy companies by mistake, but there are 65 of them. You also know that this is socially on the radar, and quite rightly so. The Consumers' Association, of course, also calls for attention to be paid to this. You can also see that the first energy companies will pass it on from 1 July, so that is possible. But I want to know from all the energy companies how they do it. I also think it is more than a moral duty on the part of the energy companies to be quite transparent about this. Do you always get 100% warranty? No, I will, of course, also discuss this with EZK's colleague, who is also responsible for ACM. And, of course, I'm gonna put back to the Chamber what my conversations are gonna bring. This is the case with regard to the reduction of VAT on energy prices.
ParlaMint-NL_2022-06-16-tweedekamer-10.u39	In any case, it is a good thing that the Minister is linked to his discussions, because I was assuming that this consultation had already taken place on the basis of the documents accompanying the legislative proposal.
ParlaMint-NL_2022-06-16-tweedekamer-10.u40	That is true, but there is constant consultation with them. But now it's about butter with the fish.
ParlaMint-NL_2022-06-16-tweedekamer-10.u41	My first question is then: when does the Secretary of State intend to be able to give feedback on this consultation, on the results and on how this is handled by energy companies? The second element of my question is a question that I believe has been asked by several speakers, namely: what action does this Secretary of State have or what does he intend to take when we see that it does not return to the consumer sufficiently? Does the Secretary of State have any idea about that yet?
ParlaMint-NL_2022-06-16-tweedekamer-10.u42	When am I coming back to the room? I really suggest that we do that before the summer recess, because then it will be after 1 July. The energy companies must be at least able to say what they have done and what they have not done with it. Then the question is, what can you do and what can you not do? As I said earlier, I will also discuss this with the Minister of EZK, in particular with regard to the ACM. It is not that such a tax measure gives you the legal opportunity to enforce it. I don't have that option, but there are other possibilities through the ACM. So that's what I'm going to come back to. Moreover, I assume that all energy companies will simply pass that on to consumers, as has happened in the case of excise duties, as our calculations show.
ParlaMint-NL_2022-06-16-tweedekamer-10.u43	In any case, it is good that these possibilities are being studied together with the Minister of EZK, but on this point too, I would like to see a feedback from the government on what possibilities it sees at this point. Could we receive that before the summer recess?
ParlaMint-NL_2022-06-16-tweedekamer-10.u44	Yeah, we'll do that in the same feedback about what the energy companies did.
ParlaMint-NL_2022-06-16-tweedekamer-10.u45	Thank you to the Secretary of State for the answer. I actually think that the starting point is that every euro of tax money contained in these packages should return to the consumer one-on-one. I think that's the starting point. If there is any doubt about that or if we cannot legally enforce it in any way, then I think we should go a step further together and see what is needed to enforce it legally. The times are exceptional, the measures are exceptional and the amounts are exceptionally high. What does the Secretary of State need to put a little more pressure on the kettle to ensure that this money actually goes back one-on-one to where it belongs?
ParlaMint-NL_2022-06-16-tweedekamer-10.u46	On the one hand, we have the VAT reduction and, on the other hand, the excise duty. As far as excise duties are concerned, we have examined precisely whether the reductions are being passed on, also with this increase in energy prices, and this appears to be the case. This can also be seen in terms of revenue, both in terms of excise duty, which is by the way per litre price, but also in terms of VAT on excise duty. When it comes to VAT, I just gave the answer. Yeah, my starting point is also one-on-one, but I'm just being really honest. At the moment, we do not have a legal instrument in tax law to enforce it. If you ask me if I want that instrument in tax law, my answer is that we need to think very carefully about what we are going to do here. What are the consequences, not only in this situation but in other situations, of tax reductions or tax increases? I think it is much more efficient to look at, in consultation with the Minister of EZK, what the possibilities are. You can also see in other countries that this is happening. Other countries in the EU are also looking at maximum pricing or stricter control of pricing and, in particular, at the composition of such pricing. Then you also see what happens to, for example, such a VAT reduction. Once again, I assume, as I have just said in reply to a question by Mr Van Baarle, that I will re-connect at the beginning of July, including what we can and cannot legally do. Let us then continue the debate on this subject. But to start shouting very toughly here 'yes, I'm going to force that for a while', I can't do that right now, and I'm not going to give that answer either.
ParlaMint-NL_2022-06-16-tweedekamer-10.u47	I get that. I also indicated that you can't give 100% insurance on this point. It is also true that one of the larger energy suppliers announced this afternoon that the bill for a variable contract with this supplier will be reduced by €28 per month, also because of the VAT reduction on 1 July. But that is not automatic; not everyone will do that. The ACM is autonomous. The Minister of EZK also cannot force the ACM to take a firm stance on this issue. What the government can do is to inform the Dutch citizen about how these companies behave and what company charges what price for similar contracts. This is a positive form of naming-and-shaming, but it is important for Dutch citizens. Every day I get people's questions: "What should I do with my energy bill? Who am I supposed to be with? Who has the best deal?" I personally follow it and I cannot follow it all, but it seems to me that it is a task of the government, precisely where the legal instruments are lacking at the moment. Is that something the Secretary of State wants to discuss with EZK and will also report back to the Chamber?
ParlaMint-NL_2022-06-16-tweedekamer-10.u48	Yes, just now, to Mr Van Baarle's questions. As I said yesterday, I'm actually going to talk to them personally. You always have frontrunners, people in this case, energy companies that have become known as today, do immediately what we actually expect from them and are transparent about them. Then let that be the benchmark. Then we encourage the others to do the same and share it. Indeed, that seems perfectly clear to me. It is therefore a good thing that we are having this debate and that I also made that commitment to the Chamber. So we will certainly make the information we have and share with you public. Would I also like to discuss this with the Minister of EZK in order to do the same in public information? The answer is yes. This also fits in with a question from Mrs Van Dijk, who spoke at all about the whole of public information, which had not yet come back to it. At the end of June, I thought there was a discussion between the Minister for Climate and Energy and the Minister for Poverty Policy, Participation and Pensions, including with the sector, on this issue. I see Mr Idsinga, who first walked to the interrupting microphone but sits down.
ParlaMint-NL_2022-06-16-tweedekamer-10.u49	If people want to interrupt, they're really up against the microphone with their noses on. You just don't pay attention to what else they're doing.
ParlaMint-NL_2022-06-16-tweedekamer-10.u50	Thank you. I remember that from the First Chamber. That's where you had to be very close to the microphone.
ParlaMint-NL_2022-06-16-tweedekamer-10.u51	Look, at least they had manners there!
ParlaMint-NL_2022-06-16-tweedekamer-10.u52	Mr. Chairman. There are a few more questions. In my view, at the beginning of the general introduction, I said something about the budget right of the Chamber. Oh, yes, there is another question from Mr Stoffer.
ParlaMint-NL_2022-06-16-tweedekamer-10.u53	First, Mr Nijboer. Sorry.
ParlaMint-NL_2022-06-16-tweedekamer-10.u54	No, go ahead. I think it's about tax relief.
ParlaMint-NL_2022-06-16-tweedekamer-10.u55	Yeah, exactly. Exactly. Then we had the same idea: the tax relief. Mr Stoffer had already asked for this in the debate on 22 March. The question was: can you not do this reduction on the energy tax, say the duty-free foot, retroactively until 1 January 2022? In the letter of 29 March, we gave a comprehensive answer to this question. Technically, it can be done with regard to the Tax Administration; Mr Stoffer has also reminded us of this. However, on pages 10 and 11 we also explain why the current year cannot be done for the energy companies. They often do not work with a calendar year, but very often with 1 July. You also have people who switch halfway. You're in an administratively very complicated situation. I continue to like the idea of tax relief as an effective measure. It's already been applied; it's already elevated. But you could do it on January 1st, for example. If this is proposed on the eve of the reduction of the VAT rate, I am referring to the arguments put forward in the letter of 29 March. Let me put it this way: we are not in favour of this.
ParlaMint-NL_2022-06-16-tweedekamer-10.u56	I've got my nose very close to the microphone, Mr. Chairman, so you'll know for sure. I see, of course, the arguments put forward by the Secretary of State, which I have already mentioned in my contribution. On the other hand, we have also seen in recent years that a lot of energy companies went on the bottle, smaller ones. Then something has to be taken over, and so on. That's a very administrative thing, too, but it all works out. And especially energy companies that don't fall over but are still standing up can streamline that more easily. So I'm just gonna have to deal with that displeasure after all. I think you can use this to get the groups that you really want to make it happen. I see the arguments and I also understand that this administrative burden is quite considerable, but that is why I am thinking again. If people have to go out of bankruptcy, all the complicated things can happen, and so on. Then, in my opinion, the situation is actually even more difficult administratively. It's possible. So I think energy companies that are just standing up, who have good administration, should be able to do that. We do not agree on this, but at least this shows where I think I am. I'll bring it up here again. I agree with the Secretary of State's view, but I consider it different. I would also say that the effect it has on people should outweigh the effect it has on energy companies. I estimate that even if I repeat it a hundred times here, the Secretary of State and I do not agree on this. So, yeah, we'll just put that in the middle.
ParlaMint-NL_2022-06-16-tweedekamer-10.u57	I appreciate Mr Stoffer's persistence. I didn't expect anything else either. It will indeed be many times around the walls of Jericho. We are not going to convince each other on that point either. Nor do I think it would be wise, where it has already become known today that the energy companies are going to pass on the reduction via the advance. Then we should say now: we are going to do it through the tax reduction. But once again, I understand Mr Stoffer's reasoning very well. Let us also bear this in mind for the purchasing power debate that we are going to have later this year, about 2023 and beyond. Mr. Chairman. That was one of the questions that had remained or which I had yet to answer. Mr Grinwis had another question. So much tax incentive policy, that might further drive inflation. Does the Secretary of State see that risk, too? A study carried out by the CBS shows that generic measures, such as the reduction of energy taxes and excise duties on fuels, have dampened inflation by 1.3%. The VAT reduction on energy will have an additional dampening effect, but far from enough to offset this insanely high inflation rate. Mrs Van Dijk asked how people are actively informed about existing schemes that support income. What is the current state of affairs in this area? We have just talked about reducing VAT on energy, but more generally, I can say that the Minister for Poverty, Participation and Pensions will present an action plan on money worries, poverty and debt before the summer. It deals extensively with the non-use of facilities. For example, you should think of improving the digital provision of information on the local income provision to which people may be entitled, for example through the Virtual Incomes Loket, the household booklet and De AmenitiesWijzer. Part of this better service is also exploiting the places where people come or engaging those with whom they are already in contact. Those places and contacts can be used for timely reference and guidance to help. However, I cannot go into this now. For this, Mrs Van Dijk must be with my colleague, the Minister for Poverty Policy, Participation and Pensions. Mr. Chairman. I think I'm through with all the questions.
ParlaMint-NL_2022-06-16-tweedekamer-10.u58	Fine. Then we'll go to the second term. No, Mr Van Haga has another question.
ParlaMint-NL_2022-06-16-tweedekamer-10.u59	I had asked another question about the price of district heating, which is linked to the gas price. I was wondering what would happen to that.
ParlaMint-NL_2022-06-16-tweedekamer-10.u60	Can I come back to that in the second term? I don't have an answer to that question right now.
