ParlaMint-NL_2022-04-20-tweedekamer-4.u1	I shall then be the first to give the floor to Mr Erkens of the VVD. Go ahead.
ParlaMint-NL_2022-04-20-tweedekamer-4.u12	Thank you, Mr. Chairman. The CDA has already argued several times for the refining route and the use of hydrogen in it. It is not hard enough for me and therefore this motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Commission has made it possible to include green hydrogen used in refining processes in the share of renewable energy used in the transport sector;]] [[noting that national implementation of this will be a determining factor in determining which Member State's electrolysis plants will be deployed;]] [[noting that the use of hydrogen in this refining route in the Netherlands is currently only possible with an opening-up in the annual energy transport obligation in 2023 and 2024;]] [[Whereas such operators do not offer any long-term security and therefore will not invest in green hydrogen on the basis of this opening up;]] [[calls on the Government to make a proposal as soon as possible to open up the refining route after 2025 and to fully integrate the refining route into policy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bontenbal and Mr Grinwis.]] [[She's getting No. kst-328131030]]
ParlaMint-NL_2022-04-20-tweedekamer-4.u13	My second motion, of course, concerns the small SMRs. I couldn't resist. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas sufficient hydrogen production in the Netherlands is necessary in order not to become too dependent on abroad;]] [[noting that hydrogen production from wind at sea will not be sufficient to meet the need for hydrogen, partly because electrification of industry requires a lot of extra clean electricity;]] [[noting that the combination of small modular nuclear reactors and electrolysisrs can be a good option for hydrogen production;]] [[Calls on the Government to examine how, on what scale and at what price, hydrogen production by SMRs (in the industrial clusters) can take place, and to inform the Court of Justice of this before the end of 2022,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bontenbal and Mr Erkens.]] [[She's getting No. kst-32813-1031]]
ParlaMint-NL_2022-04-20-tweedekamer-4.u14	Finally, Mr President. I've got 15 seconds. As far as I am concerned, the hydrogen debate was one of the most interesting and constructive debates we have had in the past year. I enjoyed it. I think that in the coming months we should always do that with each other. Thank you, Mr. Chairman.
ParlaMint-NL_2022-04-20-tweedekamer-4.u15	Look, that's what we like to hear. This kind of announcement is always time. Thank you. I call Mr Van Raan of the Animal Party.
ParlaMint-NL_2022-04-20-tweedekamer-4.u16	I'll start with two quotes by Niels Bohr. The first is, "Remember what someone said, but forget who." The second quote is: "Predictions are difficult, especially when it comes to the future." We don't know what the hydrogen economy, the hydrogen market is going to look like. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is important that we do not become too dependent on other governments or private parties for our energy supply;]] [[noting that the Gasunie and therefore the government are a retreating movement from the only green hydrogen project in the Netherlands, NortH2;]] [[Whereas the conditions in the emerging green hydrogen market are, for the time being, inevitable, unclear, variable and risky;]] [[calls on the Government to apply, for the time being, the concession model in the green hydrogen market organisation, allowing the government to grant exclusive and provisional exploitation rights to parties,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Raan.]] [[She's getting No. kst-32813-1032]]
ParlaMint-NL_2022-04-20-tweedekamer-4.u17	Then there's the second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government is prepared to make billions available to enable the production and transport of green hydrogen;]] [[noting that there is still no clarity as to who will and who will not be allowed to use this green hydrogen;]] [[calls on the government to ensure that these can only be companies that fit into the circular economy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Raan, Mr Thijssen and Mr Kröger.]] [[She's getting No. kst-32813-1033]]
ParlaMint-NL_2022-04-20-tweedekamer-4.u18	Thank you, Mr President.
ParlaMint-NL_2022-04-20-tweedekamer-4.u19	By the way, Niels Bohr has found all kinds of hydrogen. You know that. I call Mrs van der Plas. Go ahead.
ParlaMint-NL_2022-04-20-tweedekamer-4.u20	Thank you. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that there is broad consensus that hydrogen has an important role to play in the future in the energy transition;]] [[Considering that farmers are ready to produce hydrogen in the short term, which can also solve network congestion problems and prevent the scaling-up of renewable energy;]] [[noting that this can help the agricultural sector to be sustainable;]] [[Whereas the mid-segment H does not have sufficient incentive measures in terms of production but can contribute to the regional generation of green hydrogen;]] [[calls on the government to release a budget of 25 million from climate funding to set up six demonstration projects for regional green hydrogen production,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the energy transition in aviation is essential;]] [[Considering that initiating hydrogen infrastructure can make an important contribution to the sustainability of aviation and that Groningen Airport Eelde, with its hydrogen ecosystem, is developing into a testing ground for innovations in the global energy transition of aviation;]] [[calls on the Government, together with Groningen Airport Eelde, the relevant ministries of EZK and IenW and possible other stakeholders, to examine how this leading position can be secured in the coming years, to examine how much funding the airport needs and whether and to what extent the Cabinet can clear it, for example from the climate funds, and to inform the Chamber about it before the summer,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Plas.]] [[She's getting No. kst-32813-1034]] [[This motion was tabled by Mr Van der Plas.]] [[She's getting No. kst-32813-1035]]
ParlaMint-NL_2022-04-20-tweedekamer-4.u21	Then I have one more question for the Minister.When it came to the expertise centre for municipalities, the Minister said that it would be possible to place it at the Expertise Centre Heat of the RVO. I would like to ask the Minister if he can tell us before the summer about the how and what. Did it work? If so, in what form? Thank you.
ParlaMint-NL_2022-04-20-tweedekamer-4.u22	There is an interruption for you by Mr Van Raan. It is a very short one, I understand.
ParlaMint-NL_2022-04-20-tweedekamer-4.u23	A week ago we had another techno-optimistic talk from four older gentlemen from the aviation industry. They also talked about hydrogen. Perhaps the motion by Mr van der Plas may also raise the question of whether the energy needs needed to make hydrogen replaceable for the current kerosene consumption are taken into account; that is a question for the Minister via Mrs van der Plas. I think it's kind of a reality check for techno-optimists when they see how goddamn much energy...
ParlaMint-NL_2022-04-20-tweedekamer-4.u24	Excuse me.
ParlaMint-NL_2022-04-20-tweedekamer-4.u25	...how much energy is needed to produce hydrogen for the aviation industry. Excuse me, Mr. Chairman.
ParlaMint-NL_2022-04-20-tweedekamer-4.u26	Thank you.
ParlaMint-NL_2022-04-20-tweedekamer-4.u27	If that goes with it, I think I might be able to support the motion.
ParlaMint-NL_2022-04-20-tweedekamer-4.u28	I think you're being used here as some sort of postillon d'amour to ask the Minister a question. I'd say yes, Mrs. Van der Plas.
ParlaMint-NL_2022-04-20-tweedekamer-4.u29	Yes. This is going through me, and the Minister may be going to answer on my behalf.
ParlaMint-NL_2022-04-20-tweedekamer-4.u30	Yeah, fine. Thank you very much.
ParlaMint-NL_2022-04-20-tweedekamer-4.u31	That's another step closer to being a minister to me. So thank you, Mr. Van Raan.
ParlaMint-NL_2022-04-20-tweedekamer-4.u32	Finally, Mr Boucke of D66 has the floor.
ParlaMint-NL_2022-04-20-tweedekamer-4.u33	Thank you, Mr. Chairman. Not only the betas among us have shattered the hydrogen debate, because I know that all the participants thought it was a very good and substantive debate. I thought so, too. Mr. Chairman. We need hydrogen very much, because we have an ambition of 60% reduction by 2030. That's a great ambition. We need to make the industry more sustainable and we need a lot of hydrogen for that. But it also offers an opportunity, because our location on the North Sea, our existing gas infrastructure and the presence of our industry mean that we have a unique opportunity to play a leading role in the field of hydrogen in Europe. That is why Mr Erkens and I have presented an action plan on hydrogen, which doubles the ambition. I am not going to repeat the questions that Mr Erkens has asked, but it was also the questions I had for the Minister. Finally. Hydrogen is not blissful, because we produce it in a situation of scarcity. For that reason, it is important to work with what we call a "hydrogen ladder." Let's use hydrogen especially where there are no alternatives. Because we know that the production of hydrogen also costs energy. Thank you, Mr. Chairman.
ParlaMint-NL_2022-04-20-tweedekamer-4.u34	Thank you.
ParlaMint-NL_2022-04-20-tweedekamer-4.u35	Does everyone want to be so good as to take the place again? I give the floor to the Minister for Climate and Energy.
ParlaMint-NL_2022-04-20-tweedekamer-4.u36	Thank you, Mr. Chairman.
ParlaMint-NL_2022-04-20-tweedekamer-4.u37	Oh, there is a request from Mrs Van der Plas to start with the appreciation of her motions, because then she can shine her light somewhere else on other matters. Is that possible for you, Minister?
ParlaMint-NL_2022-04-20-tweedekamer-4.u38	That's possible, Mr. Chairman.
ParlaMint-NL_2022-04-20-tweedekamer-4.u39	It is therefore a matter of motions for resolutions on the items Nos. 1034 and 1035.
ParlaMint-NL_2022-04-20-tweedekamer-4.u40	Then I'll start with the motions and then I'll answer a few more questions. In her motion in part No. 1034 asks Mrs Van der Plas to release 25 million. I do not think it is appropriate to distribute the money from the Climate Fund in this type of debate, as we try to do so as independently as possible. So that's why I advise against this motion. In the debate, however, we have talked well about giving space to innovative projects, and we are looking at other instruments to make that kind of innovation possible with grants. In the motion in part No. 1035 the government is invited to support Groningen Airport Eelde. I have learned through Mrs van der Plas in the debate what is happening there, and I will also be informed about it. The subject is primarily with the Minister of IenW. I have already referred in the committee debate to the hydrogen scaling-up instrument, which all parties can claim through tenders. That is why I am not prepared to go into this project so specifically and I also advise against this motion.
ParlaMint-NL_2022-04-20-tweedekamer-4.u41	Mrs Van der Plas, a brief, explanatory question?
ParlaMint-NL_2022-04-20-tweedekamer-4.u42	Yes. Just about the motion in part No. 1034. If I change the motion to "examine how money can be released from the climate funds for their pilots," can the motion then get a ruling Chamber?
ParlaMint-NL_2022-04-20-tweedekamer-4.u43	Yes, we are going to make scaling-up grants for projects of this kind anyway, and when we finish that subsidy scheme, I can discuss how these projects can get access to it.
ParlaMint-NL_2022-04-20-tweedekamer-4.u44	I propose that we look forward to the amended motion. If I understand correctly, she can be judged Chamber. But we do need the motion first.
ParlaMint-NL_2022-04-20-tweedekamer-4.u45	Mrs Van der Plas also asked a question about the hydrogen centre of expertise. I'll give you an update on the expertise center for the summer in one of the letters.
ParlaMint-NL_2022-04-20-tweedekamer-4.u46	Please continue.
ParlaMint-NL_2022-04-20-tweedekamer-4.u47	If you don't mind, I'm going to start by welcoming the other motions and then answer the questions. The motion in part No. Mrs Kröger's 1025 calls for a CSR risk analysis on hydrogen imports. I really thought that was one of the most interesting parts of the committee debate. I have been persuaded by Mrs Kröger that it is very useful to do so, so this motion gets judgment Chamber. The motion in part No. 1026 by Mrs Kröger and others on the hydrogen ladder and also on the motion in part No. 1027 by Mr Dassen and Mr Grinwis on the explicit weighting of hydrogen use I am going to advise against both. I see it as the task of the government to ensure the scaling up of wind at sea and the electrolysis capacity and the construction of hydrogen infrastructure in the coming years. Furthermore, I think it is really up to the market to determine where the hydrogen can best be used. The motion in part No. 1028 from Thijssen and Van Raan asks for the target for electrolysis capacity to double to 1 gigawatt by 2025. I would also like to scale up as quickly as possible, but because the large wind farms in the North Sea really come into operation after that year, I think this will be a very expensive goal to set ourselves. I'd rather go up faster in the years after. The challenge of the Chamber is to go towards 8 gigawatts than raise the target for electrolysis to 1 gigawatts by 2025. So I'm afraid I'm going to have to dissuade this motion.
ParlaMint-NL_2022-04-20-tweedekamer-4.u48	An interruption by Mrs Kröger.
ParlaMint-NL_2022-04-20-tweedekamer-4.u49	Yeah, about the hydrogen ladder. It's a bit of a weird presentation, isn't it? We are talking about a market that is really being driven by the government. It is a choice of this cabinet whether or not we are going to invest in, for example, a lot of stations where individuals can refuel hydrogen. Or are we going to use hydrogen in the built environment? These are actually all pilots and projects that are co-financed by the government. Then it makes sense to have a vision of where we use that hydrogen most efficiently, energeticly and cost-effectively? That's a ladder. To say "we're just going to facilitate production and, for the rest, let's leave it to the market"... We are not going to leave it to the market, because we are going to intervene in all kinds of places in that market. I would therefore ask the Minister to give real priority to the directional policy we have as a government where we prefer to land that hydrogen.
ParlaMint-NL_2022-04-20-tweedekamer-4.u50	Thank you. The Minister.
ParlaMint-NL_2022-04-20-tweedekamer-4.u51	Then I refer to the committee debate. We're already doing that. The government is taking on a huge role in creating that hydrogen market. I agree with Mr Van Raan, who says that we do not yet know exactly what this will look like, but that at least we know that the government plays a very important role in it. That is why we invest in wind at sea. That's why we're going to invest in electrolysis capacity. That's why we're going to build a hydrogen infrastructure. I don't put it on to every residential area in the Netherlands. We build them to large industrial complexes and to heavy transport, because we see that the market there is most in need of hydrogen in the years to come. To be honest, I find that a hydrogen ladder does not add enough to that. That's why I've advised against both motions.
ParlaMint-NL_2022-04-20-tweedekamer-4.u52	Please continue. No, Mr. Grinwis, we're not having a debate. Mrs Kröger is the first author of this motion and may put an explanatory question. I can't understand what you're saying right now. You'll have to say it in the microphone.
ParlaMint-NL_2022-04-20-tweedekamer-4.u53	I tabled a motion with Mr Dassen. I may be the second petitioner and not the first, but...
ParlaMint-NL_2022-04-20-tweedekamer-4.u54	Go ahead.
ParlaMint-NL_2022-04-20-tweedekamer-4.u55	...I do have a question. I understand the Minister that we should not now close everything at the front and fully assess and frame every opportunity in advance. At the same time, I thought the Minister's answer was a little too straightforward. Now, if you don't mind those motions, so be it. Then we, as a Chamber, will decide on it, but Mr Kröger has asked a good question about the different scenarios of that market organization. My question to the Minister is whether he would like to come back to this in the context of that? Because there is currently no functioning hydrogen market. There will be scarcity in the coming years. So we have to think about this. Is the Minister prepared to do so within the framework of the market organization?
ParlaMint-NL_2022-04-20-tweedekamer-4.u56	That I'm getting blamed for being straight, isn't it... then I got out of bed with the wrong foot. I have not yet answered the questions because, at Mrs van der Plas' request, I started with the motions, but Mrs Kröger asked, among other things, about those market models. I say this to you all: the market consultation on this market organization hydrogen is almost complete and you will have a very comprehensive response to that market consultation for the summer. I will also, as best I can, outline what role I see for the government and what role there is for market players and network companies. That is all we have already discussed in the committee debate. I stand by the judgment on the two motions and I will indeed wait for the vote of the Chamber next week with interest. I will come back to this in more detail in the summer letter. Mr. Chairman. The motion in part No. 1029 by Mr Grinwis is in line with a question put by Mr Erkens and Mr Boucke concerning the maximum import of hydrogen per country in order to avoid new dependencies. What I'm going to do in the next few days is to outline in the various letters how we're going to diversify as much as possible into that hydrogen import. With Mrs Kröger's CSR risk analysis, I'm also going to show you how to import green hydrogen in a socially responsible way, but I think it's too early to pin myself on concrete maximum rates. That is why I advise against the motion in part No. 1029. I shall, however, give as good a qualitative description as possible of how I think we can achieve a variety of import markets at European level. Then the motion to part No. 1030 by Mr Bontenbal and Mr Grinwis. I happen to have a meeting tomorrow with the Secretary of State of IenW who is the primary trigger here. I will forward the verdict on this motion to your Chamber by letter as soon as I have spoken with the Secretary of State. Of course, that letter comes before the votes. The motion in part No. 1031 by Mr Bontenbal and Mr Erkens I can give judgment Chamber. Then the motion to part No. Mr Van Raan, Mr Van Raan, Mr Van Raan, Mr Van Raan, Mr Van Raan, Mr Van Raan, Mr Van Raan, Mr Van Raan, Mr Van Raan, Mr Van Here too, we opt for a concession model or for other models. I'm going to make a choice in that and it's in that letter that comes before the summer. So I have to discourage this motion now, or perhaps you want to hold it because I have to study that market consultation myself before I can make a choice in what is the best model?
ParlaMint-NL_2022-04-20-tweedekamer-4.u57	I think it is good that the Minister is also looking at the last major infrastructure that has been built over the last 30 to 40 years. That's the Internet. That has become a race to the bottom of the big companies. We gave that away. One of the first infrastructures was built around 1900; that was the telephone. It was invented by the American Bell. The Dutch Government said: we do not know how it is going to develop, but we are going for a concession model here. The government thought it was important that it should remain in public hands until people knew what it was like. A preference for it is therefore obvious, and that is what the motion is about.
ParlaMint-NL_2022-04-20-tweedekamer-4.u58	I hope that I can reassure Mr Van Raan in part, because the choice of ownership of the infrastructure has been made clear: it will be in public hands and we will do so. In my view, you are more concerned with the electrolysis capacity and the supply of that green hydrogen. I think I should go through an orderly process in that consultation. So I'm sticking to the judgment "dissuade." I have heard from Mr Van Raan what at least is his preferred choice in the end.
ParlaMint-NL_2022-04-20-tweedekamer-4.u59	Very briefly. You can't, or you wouldn't want to, imagine that Apple's gonna build electrolysiss? Because they can, because this is the law of large numbers, of mass investment by non-small parties. The large parties that can build electrolysis will therefore do so. Then you give away the property before that market gets off to a good start. You shouldn't want that, should you?
ParlaMint-NL_2022-04-20-tweedekamer-4.u60	In the December letter, the former Secretary of State outlined that we want infrastructure in public hands and that we want to leave the production of green hydrogen to the market, with possible scope for public-private partnerships. I agree that we must avoid becoming dependent on one importing country. We must also avoid becoming dependent on one batch of green hydrogen. But again, it is too early to opt for a concession model already.
ParlaMint-NL_2022-04-20-tweedekamer-4.u61	Please continue.
ParlaMint-NL_2022-04-20-tweedekamer-4.u62	The last motion by Mr Van Raan, the motion in part No. 1033, asks for this only to be used by companies that fit within the circular economy. I think we are going to need green hydrogen in a number of sectors, including industry and chemistry. The Minister for Economic Affairs is working on the long-term perspective of this green industrial policy. I would think it would be unwise to exclude parties from this right now. That's why I don't recommend that motion. Mr President, I would like to end by answering a few questions, if I may. In part, I have already answered Mr Erkens' question on the maximum target, but I will, in the near future, outline how we are going to achieve as diverse an import market as possible at European level. In the letter promised in the committee debate, I will discuss how we could possibly achieve an increase to 8 gigawatts and what it takes to have so much electrolysis capacity in our own country by 2030. I will therefore outline what this requires for wind at sea, infrastructure and other things. And you're asking me if I want to make a big effort to reduce costs. Yeah, I think it's really good to stick to that. That is also the reason for the scaling-up instrument and all the incentives that we are going to develop in the coming period. With this you really want to achieve the same effect as with wind at sea. In the beginning you are willing to support unprofitable summits a bit more, but at some point it has to be really profitable. We will discuss how best to do this in the formulation of the policy. In the letter of June, I am referring to Mr Thijssen, on the Climate Policy Programme, I will also mention the financing of hydrogen ambitions, where we want, of course, to promote the hydrogen market with a number of generic instruments. And the idea for HydroTerra: we are figuring out how best to shape it. I will return to that with the Secretary of State as soon as possible. I had answered the questions put by Mrs van der Plas and Mrs Kröger, President.
ParlaMint-NL_2022-04-20-tweedekamer-4.u63	Then there is an interruption, of course briefly, from Mr Erkens.
ParlaMint-NL_2022-04-20-tweedekamer-4.u64	Very briefly, Mr. Chairman. Maybe I didn't hear the Minister say it right, but is there going to be a specific import target? Or is he looking at it, too, to harden that target?
ParlaMint-NL_2022-04-20-tweedekamer-4.u65	I am now discussing with Germany, among others, and since yesterday with Belgium, how we are going to shape this joint import strategy. We will then make agreements with each other about how much scaling up we want from abroad, how we do it in a socially responsible way et cetera. I am not yet in a stage where we are going to have very specific targets, but it is important that, if we are going to put public money into an import strategy, we should, for example, clearly outline what we are trying to achieve.
ParlaMint-NL_2022-04-20-tweedekamer-4.u66	Thank you. That concludes this two-minute debate.
ParlaMint-NL_2022-04-20-tweedekamer-4.u67	The motions tabled in the two minutes' debate will be put to the vote on Tuesday 10 May after the recess. I thank the Minister for Climate and Energy, and I wish him a good day. I am going to welcome his successor, at least in the order of speakers.
